mass,"(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(1, 0)","(2, 0)","(2, 1)"
1.9601634743191856,6.36578459591575e-05,1.463237002736319e-05,1.2216824624256975e-05,0.0014271948308005411,0.0009744182793962496,0.0011829554863726404,0.0015052311249234877,0.0010390890207512644,0.0012692766919994297,9.277778506213553e-06,0.0006653753317677401,0.0007091936781323444
1.9966424501097937,6.482017387708487e-05,1.484660925432445e-05,1.2279323517212054e-05,0.0014835771399926393,0.0010039515443304122,0.0011902747492267616,0.0015639592440775086,0.0010705082145448202,0.0012771529922539233,9.363042050967978e-06,0.0006816265087652764,0.0007265244667128251
2.03380030584698,6.60036812822084e-05,1.5064384310125183e-05,1.2343121006456605e-05,0.001538825358053543,0.001033109868612698,0.0011977265861386412,0.0016215155676173292,0.0011015356899103294,0.00128517195246474,9.449197231813664e-06,0.0006973573450864716,0.0007433105746876287
2.071649675602067,6.720875555398453e-05,1.5285754342354237e-05,1.2408238291256483e-05,0.0015932903100594855,0.0010619992314430066,0.0012053131235728685,0.0016782648466235129,0.0011322836202388598,0.0012933358595924318,9.536263983961318e-06,0.0007126683625189237,0.0007596578474040452
2.1102034285685964,6.843579114039628e-05,1.551077951213584e-05,1.2474696849862163e-05,0.0016472299131529327,0.0010907046403801606,0.0012130365202597292,0.0017344752823574825,0.0011628419836776816,0.0013016470352915062,9.624262716535372e-06,0.0007276361412065207,0.0007756469059343681
2.1494746734379806,6.968518968745104e-05,1.5739521011681514e-05,1.2542518440048829e-05,0.0017008415868635812,0.001119295814833272,0.0012208989677352383,0.0017903521968997422,0.0011932845803001033,0.0013101078364923953,9.713214309626638e-06,0.0007423209382929509,0.0007913411764760675
2.1894767628566205,7.095736017102418e-05,1.597204108229235e-05,1.2611725107369625e-05,0.0017542814402483065,0.0011478310449136487,0.0012289026908914754,0.001846057970311683,0.001223673117220258,0.0013187206559942637,9.80314011474931e-06,0.0007567714045769974,0.000806791861293639
2.2302232979659364,7.225271903112845e-05,1.620840303245279e-05,1.268233918864173e-05,0.001807676298330898,0.001176359893614079,0.0012370499485370552,0.0019017245392613207,0.0012540600690109343,0.0013274879230689115,9.894061952989446e-06,0.000771027661422399,0.0008220411813794528
2.271728133026903,7.357169030863083e-05,1.6448671256431887e-05,1.2754383317526287e-05,0.0018611315915943716,0.0012049251393928399,0.0012453430339680305,0.001957461597440895,0.0012844907338993138,0.0013364121040758505,9.986002114079066e-06,0.0007851233926725844,0.0008371245809037388
2.314005380130654,7.491470578446034e-05,1.6692911253125097e-05,1.2827880430626898e-05,0.0019147367281049136,0.0012335642046659837,0.0012537842755494548,0.002013362180091201,0.0013150047456986001,0.0013454957030888492,1.0078983355659388e-05,0.000799087315434751,0.0008520722769762832
2.3570694139967276,7.628220512137084e-05,1.694118964525654e-05,1.2902853772231545e-05,0.0019685688670664147,0.0012623102271898984,0.0012623760373076268,0.0020695065871703753,0.001345637207692553,0.0013547412625340438,1.017302890187543e-05,0.0008129442433760137,0.0008669103799151946
2.400934876860652,7.767463600828257e-05,1.719357419884079e-05,1.2979326899807995e-05,0.002022695640366458,0.0012911928776818194,0.0012711207195332424,0.002125965213066323,0.001376419557895416,0.0013641513638397737,1.026816244229037e-05,0.0008267158737443356,0.0008816617223336033
2.445616683452444,7.909245430727421e-05,1.7450133843125802e-05,1.3057323690403458e-05,0.0020771771604677987,0.0013202389934743018,0.0012800207593957847,0.002182800634460124,0.0014073802395824539,0.0013737286280984886,1.0364408131284039e-05,0.0008404213817843912,0.0008963464852408008
2.491130026067791,8.05361242032365e-05,1.7710938690722186e-05,1.3136868346950687e-05,0.0021320675313554346,0.0013494730764144734,0.00128907863156906,0.002240069181564202,0.0014385452281310887,0.001383475716740676,1.0461790587411618e-05,0.0008540778776291249,0.0009109826792174449
2.5374903797335717,8.200611835629e-05,1.79760600582415e-05,1.3217985403137445e-05,0.0021874160054784334,0.0013789176889832124,0.0012982968488682598,0.0022978221413049744,0.001469938450139834,0.0013933953322212494,1.0560334892115542e-05,0.0008677007629345816,0.0009255865199467684
2.584713507469564,8.350291805697589e-05,1.8245570487125597e-05,1.330069973107569e-05,0.002243267883418718,0.0014085937730110092,0.0013076779628987017,0.0023561066930017772,0.0015015821206299015,0.0014034902187184165,1.066006658986653e-05,0.000881304013081647,0.0009401727253201171
2.63281546564802,8.502701338426783e-05,1.851954376504507e-05,1.3385036546254504e-05,0.0022996652232461327,0.0014385209087656508,0.0013172245647162938,0.0024149666461512113,0.0015334970171450458,0.0014137631628452743,1.076101168705157e-05,0.0008949004032174954,0.0009547547533756223
2.681812609453013,8.657890336651299e-05,1.879805494745425e-05,1.3471021415202736e-05,0.002356647406850794,0.001468717527564512,0.0013269392855001989,0.0024744430294830764,0.0015657027046717014,0.0014242169943744388,1.08631966522878e-05,0.0009085016913092679,0.0009693449949524607
