mass,"(0, 0, 0)","(0, 0, 1)","(0, 0, 2)","(1, 1, 0)","(1, 1, 1)","(1, 1, 2)","(2, 2, 0)","(2, 2, 1)","(2, 2, 2)"
0.000141955476605,4.565421967425699e-06,9.221234560828412e-05,0.00037709590877848777,0.0003398674759433653,0.0002054939196780617,0.0014372557027617114,1.0008969437714694,0.7985639477076799,0.5804645143478052
0.0001445972921792,4.579944350838622e-06,9.221234871946955e-05,0.00037709590882449427,0.0003398674540195151,0.00020549921323032258,0.001437255702939395,1.000896943530676,0.7985639475477359,0.5804654205143177
0.0001472882723907,4.594703319630675e-06,9.221235194752319e-05,0.0003770959088719712,0.000339867431272028,0.00020550460437412227,0.0014372557031237538,1.000896943280837,0.7985639473817835,0.5804663435280637
0.0001500293322019,4.609702658035129e-06,9.221235529683472e-05,0.00037709590892125855,0.00033986740766996044,0.000205510094895746,0.0014372557033150378,1.0008969430216124,0.7985639472095967,0.580467283701997
0.0001528214036025,4.624946211289683e-06,9.221235877195875e-05,0.0003770959089715368,0.0003398673831812062,0.00020551568661377238,0.0014372557035135084,1.0008969427526495,0.7985639470309414,0.5804682413548761
0.0001556654359271,4.6404378866529845e-06,9.22123623776209e-05,0.0003770959090247695,0.00033986735777245304,0.0002055213813796452,0.0014372557037194344,1.0008969424735823,0.7985639468455746,0.5804692168113706
0.0001585623961771,4.656181654438167e-06,9.221236611872428e-05,0.00037709590907927364,0.00033986733140913667,0.00020552718107825485,0.0014372557039330964,1.0008969421840317,0.7985639466532443,0.580470210402172
0.0001615132693503,4.672181549063703e-06,9.221237000035608e-05,0.00037709590913601537,0.00033986730405539457,0.0002055330876285295,0.0014372557041547852,1.0008969418836038,0.7985639464536887,0.5804712224641033
0.0001645190587753,4.6884416701217725e-06,9.221237402779465e-05,0.0003770959091950261,0.00033986727567401643,0.00020553910298403677,0.001437255704384802,1.0008969415718896,0.7985639462466364,0.5804722533402341
0.000167580786453,4.704966183464472e-06,9.221237820651651e-05,0.0003770959092562996,0.00033986724622639403,0.00020554522913359517,0.0014372557046234595,1.0008969412484654,0.7985639460318059,0.5804733033799947
0.0001706994934038,4.721759322308068e-06,9.22123825422038e-05,0.0003770959093195538,0.0003398672156724685,0.00020555146810189622,0.0014372557048710829,1.0008969409128914,0.7985639458089049,0.5804743729392944
0.0001738762400216,4.738825388355594e-06,9.221238704075211e-05,0.000377095909385898,0.00033986718397067576,0.00020555782195013711,0.0014372557051280086,1.0008969405647108,0.7985639455776303,0.5804754623806411
0.0001771121064345,4.756168752938056e-06,9.221239170827841e-05,0.00037709590945426795,0.0003398671510778901,0.00020556429277666406,0.0014372557053945862,1.0008969402034502,0.7985639453376675,0.5804765720732632
0.0001804081928719,4.773793858174508e-06,9.221239655112933e-05,0.00037709590952571617,0.0003398671169493654,0.0002055708827176266,0.001437255705671178,1.0008969398286183,0.79856394508869,0.580477702393234
