mass,"(1, 0, 0)","(1, 0, 1)","(1, 0, 2)","(2, 0, 0)","(2, 0, 1)","(2, 0, 2)","(2, 1, 0)","(2, 1, 1)","(2, 1, 2)","(1, 0)","(2, 0)","(2, 1)"
0.0001202486142037,2.003268561058047e-06,3.72619288999755e-06,8.200469866654507e-05,0.0008721379983217832,0.0008462157956481641,0.00161990987284271,0.0009286021961922606,0.0008992849619892684,0.0017421542413170441,2.376265039467969e-06,0.0006554872044807798,0.0006961751373963838
0.000122486461375,2.003268398627841e-06,3.7261958598895175e-06,8.200469858767907e-05,0.0008721379979570641,0.0008462157951128051,0.0016199098801952425,0.0009286021947776719,0.0008992849640345398,0.0017421542492296227,2.37626444328199e-06,0.0006554872033333839,0.0006961751377252357
0.000124765955263,2.003268220572552e-06,3.726198929542347e-06,8.200469876518635e-05,0.000872137997553149,0.0008462157945573346,0.001619909887805491,0.0009286021933099413,0.0008992849661477135,0.001742154257419505,2.3762638053264735e-06,0.000655487202137001,0.0006961751380620652
0.0001270878709202,2.0032680260345477e-06,3.7262021022616923e-06,8.20046986344737e-05,0.0008721379971078189,0.0008462157939809969,0.0016199098956823706,0.0009286021917870724,0.0008992849683310052,0.0017421542658963753,2.376263123509515e-06,0.000655487200889638,0.0006961751384070067
0.0001294529978227,2.0032678141178234e-06,3.726205381460824e-06,8.20046987628146e-05,0.0008721379966187536,0.0008462157933830084,0.001619909903835116,0.0009286021902069937,0.0008992849705867019,0.0017421542746700808,2.3762623956212628e-06,0.0006554871995892236,0.0006961751387602047
0.0001318621401394,2.003267583886506e-06,3.726208770664382e-06,8.200469869424353e-05,0.0008721379960835269,0.0008462157927625554,0.001619909912273526,0.0009286021885675558,0.0008992849729171629,0.0017421542837512396,2.376261619382723e-06,0.0006554871982335889,0.000696175139121776
0.0001343161170046,2.0032673343633024e-06,3.7262122735114833e-06,8.200469877288966e-05,0.0008721379954996024,0.0008462157921187942,0.0016199099210074922,0.000928602186866529,0.0008992849753248229,0.0017421542931504413,2.376260792398028e-06,0.0006554871968204978,0.0006961751394918595
0.0001368157627967,2.0032670645278933e-06,3.7262158937593904e-06,8.20046990144161e-05,0.0008721379948643293,0.0008462157914508491,0.0016199099300471618,0.0009286021851015996,0.0008992849778121941,0.0017421543028786045,2.3762599121781483e-06,0.000655487195347632,0.0006961751398705945
0.0001393619274224,2.003266773315273e-06,3.7262196352879384e-06,8.200469890252484e-05,0.0008721379941749378,0.0008462157907578118,0.0016199099394034744,0.0009286021832703667,0.0008992849803818685,0.0017421543129475818,2.376258976141857e-06,0.0006554871938125548,0.0006961751402580855
0.000141955476605,2.0032664596140336e-06,3.726223502101967e-06,8.200469890530495e-05,0.0008721379934285345,0.0008462157900387395,0.0016199099490871193,0.0009286021813703395,0.0008992849830365203,0.001742154323368805,2.3762579815753323e-06,0.0006554871922127761,0.0006961751406544825
